Date,Place,Latitude,Longitude
09/30/2011,O.R. Tambo,-26.1372,28.2411
10/01/2011,New York City,40.7128,-74.006
10/22/2011,Beitbridge,-22.2146,30.003
10/22/2011,Beitbridge,-22.2146,30.003
10/24/2011,Beitbridge,-22.2146,30.003
10/24/2011,Beitbridge,-22.2146,30.003
11/03/2011,Harare International Airport,-17.9318,31.0928
11/03/2011,O.R. Tambo,-26.1372,28.2411
12/01/2011,Beitbridge,-22.2146,30.003
01/27/2012,Beitbridge,-22.2146,30.003
07/29/2012,O.R. Tambo,-26.1372,28.2411
