Date,Place,Latitude,Longitude,Location
15/02/2010,O.R. Tambo,-26.1372,28.2411,South Africa
16/02/2010,O.R. Tambo,-26.1372,28.2411,South Africa
20/02/2010,O.R. Tambo,-26.1372,28.2411,South Africa
22/02/2010,O.R. Tambo,-26.1372,28.2411,South Africa
24/04/2010,O.R. Tambo,-26.1372,28.2411,South Africa
24/05/2010,O.R. Tambo,-26.1372,28.2411,South Africa
28/05/2010,O.R. Tambo,-26.1372,28.2411,South Africa
06/06/2010,O.R. Tambo,-26.1372,28.2411,South Africa
11/08/2010,O.R. Tambo,-26.1372,28.2411,South Africa
12/08/2010,O.R. Tambo,-26.1372,28.2411,South Africa
31/08/2010,O.R. Tambo,-26.1372,28.2411,South Africa
11/09/2010,O.R. Tambo,-26.1372,28.2411,South Africa
27/09/2010,O.R. Tambo,-26.1372,28.2411,South Africa
30/09/2010,O.R. Tambo,-26.1372,28.2411,South Africa
04/10/2010,O.R. Tambo,-26.1372,28.2411,South Africa
08/10/2010,O.R. Tambo,-26.1372,28.2411,South Africa
09/10/2010,O.R. Tambo,-26.1372,28.2411,South Africa
19/10/2010,O.R. Tambo,-26.1372,28.2411,South Africa
22/10/2010,O.R. Tambo,-26.1372,28.2411,South Africa
25/10/2010,O.R. Tambo,-26.1372,28.2411,South Africa
01/11/2010,O.R. Tambo,-26.1372,28.2411,South Africa
05/11/2010,O.R. Tambo,-26.1372,28.2411,South Africa
07/11/2010,O.R. Tambo,-26.1372,28.2411,South Africa
30/01/2011,O.R. Tambo,-26.1372,28.2411,South Africa
11/02/2011,O.R. Tambo,-26.1372,28.2411,South Africa
21/02/2011,O.R. Tambo,-26.1372,28.2411,South Africa
26/02/2011,O.R. Tambo,-26.1372,28.2411,South Africa
06/06/2011,O.R. Tambo,-26.1372,28.2411,South Africa
03/07/2011,O.R. Tambo,-26.1372,28.2411,South Africa
21/07/2011,O.R. Tambo,-26.1372,28.2411,South Africa
27/07/2011,O.R. Tambo,-26.1372,28.2411,South Africa
24/09/2011,O.R. Tambo,-26.1372,28.2411,South Africa
30/09/2011,O.R. Tambo,-26.1372,28.2411,South Africa
03/11/2011,O.R. Tambo,-26.1372,28.2411,South Africa
29/07/2012,O.R. Tambo,-26.1372,28.2411,South Africa
26/11/2009,Plumtree Rail,-20.489,27.8051,Zimbabwe
26/11/2009,Plumtree Rail,-20.489,27.8051,Zimbabwe
28/11/2009,Plumtree Rail,-20.489,27.8051,Zimbabwe
26/11/2009,Ramokgwebana Border,-22.1235,29.3682,Botswana
28/11/2009,Ramokgwebana Border,-22.1235,29.3682,Botswana
06/05/2010,Ressano Garcia,-25.4435,31.9915,Mozambique
11/05/2010,Ressano Garcia,-25.4435,31.9915,Mozambique
30/04/2011,Ressano Garcia,-25.4435,31.9915,Mozambique
01/05/2011,Ressano Garcia,-25.4435,31.9915,Mozambique
06/07/2007,Roissy Airport (Paris),49.0097,2.5479,France
20/06/2007,Schengen,,,
06/02/2009,Schengen,,,
02/12/2009,Schengen,,,
20/12/2007,Springs Home Affairs,-26.2604,28.4344,South Africa
01/12/2009,Springs Home Affairs,-26.2604,28.4344,South Africa
22/08/2007,Visa US,,,
05/05/2009,Visa US,,,
12/05/2011,Visa US,,,
07/06/2011,Washington,38.9072,-77.0369,USA
31/08/2010,Jomo Kenyatta International Airport,-1.3192,36.9273,Kenya
04/09/2010,Jomo Kenyatta International Airport,-1.3192,36.9273,Kenya
01/05/2011,,,,
